team,goals_scored,goals_conceded,wins,draws,losses,points,goal_difference,rank
Bournemouth,54,67,13,9,16,48,-13,18
West Ham United,122,121,33,18,25,117,1,8
Nottingham Forest,49,67,9,9,20,36,-18,22
Manchester City,179,66,55,12,9,177,113,1
West Ham United,122,121,33,18,25,117,1,8
Bournemouth,54,67,13,9,16,48,-13,18
Arsenal,146,68,46,12,18,150,78,3
Everton,87,99,30,17,29,107,-12,9
Leeds United,62,54,18,5,15,59,8,17
Chelsea,135,99,37,19,20,130,36,5
Everton,87,99,30,17,29,107,-12,9
Liverpool,154,83,44,19,13,151,71,2
Manchester City,179,66,55,12,9,177,113,1
Crystal Palace,98,124,25,18,33,93,-26,11
Wolverhampton Wanderers,86,117,25,16,35,91,-31,12
Manchester City,179,66,55,12,9,177,113,1
Leicester City,68,50,20,6,12,66,18,15
West Ham United,122,121,33,18,25,117,1,8
Bournemouth,54,67,13,9,16,48,-13,18
Wolverhampton Wanderers,86,117,25,16,35,91,-31,12
Arsenal,146,68,46,12,18,150,78,3
Wolverhampton Wanderers,86,117,25,16,35,91,-31,12
Newcastle United,131,124,30,15,31,105,7,10
Fulham,82,114,18,21,37,75,-32,14
Bournemouth,54,67,13,9,16,48,-13,18
Burnley,74,133,15,18,43,63,-59,16
Liverpool,154,83,44,19,13,151,71,2
Everton,87,99,30,17,29,107,-12,9
Arsenal,146,68,46,12,18,150,78,3
Brentford,56,65,10,9,19,39,-9,20
Manchester City,179,66,55,12,9,177,113,1
Burnley,74,133,15,18,43,63,-59,16
Newcastle United,131,124,30,15,31,105,7,10
Brentford,56,65,10,9,19,39,-9,20
Wolverhampton Wanderers,86,117,25,16,35,91,-31,12
Brentford,56,65,10,9,19,39,-9,20
Fulham,82,114,18,21,37,75,-32,14
West Ham United,122,121,33,18,25,117,1,8
West Ham United,122,121,33,18,25,117,1,8
Liverpool,154,83,44,19,13,151,71,2
Southampton,47,68,12,7,19,43,-21,19
Bournemouth,54,67,13,9,16,48,-13,18
Nottingham Forest,49,67,9,9,20,36,-18,22
Manchester United,130,102,39,17,20,134,28,4
Burnley,74,133,15,18,43,63,-59,16
Burnley,74,133,15,18,43,63,-59,16
Bournemouth,54,67,13,9,16,48,-13,18
Chelsea,135,99,37,19,20,130,36,5
Tottenham Hotspur,142,106,38,14,24,128,36,6
Everton,87,99,30,17,29,107,-12,9
Everton,87,99,30,17,29,107,-12,9
Leeds United,62,54,18,5,15,59,8,17
Tottenham Hotspur,142,106,38,14,24,128,36,6
Sheffield United,55,167,10,9,57,39,-112,21
Burnley,74,133,15,18,43,63,-59,16
Manchester United,130,102,39,17,20,134,28,4
Leeds United,62,54,18,5,15,59,8,17
West Bromwich Albion,35,76,5,60,22,26,-41,24
Everton,87,99,30,17,29,107,-12,9
West Bromwich Albion,35,76,5,60,22,26,-41,24
Everton,87,99,30,17,29,107,-12,9
Luton Town,52,85,6,8,24,26,-33,23
Manchester United,130,102,39,17,20,134,28,4
Nottingham Forest,49,67,9,9,20,36,-18,22
Burnley,74,133,15,18,43,63,-59,16
Newcastle United,131,124,30,15,31,105,7,10
Brentford,56,65,10,9,19,39,-9,20
Manchester City,179,66,55,12,9,177,113,1
Southampton,47,68,12,7,19,43,-21,19
Brentford,56,65,10,9,19,39,-9,20
Chelsea,135,99,37,19,20,130,36,5
Liverpool,154,83,44,19,13,151,71,2
West Ham United,122,121,33,18,25,117,1,8
Brentford,56,65,10,9,19,39,-9,20
Brighton and Hove Albion,95,108,21,26,29,89,-13,13
Brighton and Hove Albion,95,108,21,26,29,89,-13,13
Liverpool,154,83,44,19,13,151,71,2
Leicester City,68,50,20,6,12,66,18,15
Tottenham Hotspur,142,106,38,14,24,128,36,6
Nottingham Forest,49,67,9,9,20,36,-18,22
Liverpool,154,83,44,19,13,151,71,2
Aston Villa,131,107,36,15,25,123,24,7
Everton,87,99,30,17,29,107,-12,9
Manchester City,179,66,55,12,9,177,113,1
Aston Villa,131,107,36,15,25,123,24,7
Arsenal,146,68,46,12,18,150,78,3
Bournemouth,54,67,13,9,16,48,-13,18
Manchester City,179,66,55,12,9,177,113,1
Wolverhampton Wanderers,86,117,25,16,35,91,-31,12
Everton,87,99,30,17,29,107,-12,9
Southampton,47,68,12,7,19,43,-21,19
Manchester United,130,102,39,17,20,134,28,4
Fulham,82,114,18,21,37,75,-32,14
Liverpool,154,83,44,19,13,151,71,2
Aston Villa,131,107,36,15,25,123,24,7
West Bromwich Albion,35,76,5,60,22,26,-41,24
Aston Villa,131,107,36,15,25,123,24,7
Crystal Palace,98,124,25,18,33,93,-26,11
Brighton and Hove Albion,95,108,21,26,29,89,-13,13
West Ham United,122,121,33,18,25,117,1,8
Crystal Palace,98,124,25,18,33,93,-26,11
Brighton and Hove Albion,95,108,21,26,29,89,-13,13
Chelsea,135,99,37,19,20,130,36,5
Southampton,47,68,12,7,19,43,-21,19
Brighton and Hove Albion,95,108,21,26,29,89,-13,13
Fulham,82,114,18,21,37,75,-32,14
Nottingham Forest,49,67,9,9,20,36,-18,22
Aston Villa,131,107,36,15,25,123,24,7
Southampton,47,68,12,7,19,43,-21,19
Crystal Palace,98,124,25,18,33,93,-26,11
Sheffield United,55,167,10,9,57,39,-112,21
Chelsea,135,99,37,19,20,130,36,5
Fulham,82,114,18,21,37,75,-32,14
Brighton and Hove Albion,95,108,21,26,29,89,-13,13
Chelsea,135,99,37,19,20,130,36,5
West Bromwich Albion,35,76,5,60,22,26,-41,24
Everton,87,99,30,17,29,107,-12,9
Wolverhampton Wanderers,86,117,25,16,35,91,-31,12
Crystal Palace,98,124,25,18,33,93,-26,11
Brighton and Hove Albion,95,108,21,26,29,89,-13,13
Chelsea,135,99,37,19,20,130,36,5
Brentford,56,65,10,9,19,39,-9,20
Aston Villa,131,107,36,15,25,123,24,7
Burnley,74,133,15,18,43,63,-59,16
West Ham United,122,121,33,18,25,117,1,8
Luton Town,52,85,6,8,24,26,-33,23
Southampton,47,68,12,7,19,43,-21,19
Burnley,74,133,15,18,43,63,-59,16
Everton,87,99,30,17,29,107,-12,9
Aston Villa,131,107,36,15,25,123,24,7
West Bromwich Albion,35,76,5,60,22,26,-41,24
Everton,87,99,30,17,29,107,-12,9
Liverpool,154,83,44,19,13,151,71,2
Luton Town,52,85,6,8,24,26,-33,23
Liverpool,154,83,44,19,13,151,71,2
Aston Villa,131,107,36,15,25,123,24,7
Newcastle United,131,124,30,15,31,105,7,10
Arsenal,146,68,46,12,18,150,78,3
Liverpool,154,83,44,19,13,151,71,2
West Ham United,122,121,33,18,25,117,1,8
Crystal Palace,98,124,25,18,33,93,-26,11
West Bromwich Albion,35,76,5,60,22,26,-41,24
Burnley,74,133,15,18,43,63,-59,16
Tottenham Hotspur,142,106,38,14,24,128,36,6
Crystal Palace,98,124,25,18,33,93,-26,11
West Ham United,122,121,33,18,25,117,1,8
Leeds United,62,54,18,5,15,59,8,17
Liverpool,154,83,44,19,13,151,71,2
Aston Villa,131,107,36,15,25,123,24,7
Everton,87,99,30,17,29,107,-12,9
