Letter,64-Bit Vector,Font Number
A,0000100000011000001001000010010001111110010000101000000110000001,1
A,0001100000111100011001101100001111111111110000111100001111000011,2
A,0011100001111100110001101100011011111110110001101100011011000110,3
A,0111110011111110110001101111111011111110110001101100011011000110,4
A,0011110001000010100000011111111110000001100000011000000110000001,5
B,1111110010000010100000101111110010000010100000101000001011111100,1
B,1111110011000110110001101111110011000110110001101100011011111100,2
B,1111110011000110110001101111110011000110110001101100011011111100,3
B,1111110011111110110001101111110011111110110001101100011011111100,4
B,1111110010000010100000101111110010000010100000101000001011111100,5
C,0111111010000001100000001000000010000000100000001000000001111110,1
C,0111111011000011110000001100000011000000110000001100001101111110,2
C,0111110011000110110000001100000011000000110000001100011001111100,3
C,0111111011111110110000001100000011000000110000001111111001111100,4
C,0111111010000001100000001000000010000000100000001000000101111110,5
D,1111100010000100100000101000001010000010100000101000010011111000,1
D,1111110011000110110000111100001111000011110000111100011011111100,2
D,1111100011001100110001101100011011000110110001101100110011111000,3
D,1111110011111110110001101100011011000110110001101111111011111100,4
D,1111110010000010100000011000000110000001100000011000001011111100,5
E,1111111010000000100000001111110010000000100000001000000011111110,1
E,1111111111000000110000001111110011000000110000001100000011111111,2
E,1111111011000000110000001111110011000000110000001100000011111110,3
E,1111111011111110110000001111110011111100110000001111111011111110,4
E,1111111110000000100000001111111010000000100000001000000011111111,5
F,1111111010000000100000001111110010000000100000001000000010000000,1
F,1111111111000000110000001111110011000000110000001100000011000000,2
F,1111111011000000110000001111110011000000110000001100000011000000,3
F,1111111011111110110000001111110011111100110000001100000011000000,4
F,1111111110000000100000001111111010000000100000001000000010000000,5
G,0111111010000001100000001001111110000001000000100000011000001110,1
G,0111111011000011110000001100111111000011110000111100001101111110,2
G,0111110011000110110000001101111011000110110001101100011001111100,3
G,0111111011111110110000001101111011000110110001101111111001111100,4
G,0111111010000001100000001000011110000001100000011000000101111110,5
H,1000000110000001100000011111110110000001100000011000000110000001,1
H,1100001111000011110000111111111111000011110000111100001111000011,2
H,1100011011000110110001101111111011000110110001101100011011000110,3
H,1100011011000110110001101111111011111110110001101100011011000110,4
H,1000000110000001100000011111111110000001100000011000000110000001,5
I,0111111000011000000110000001100000011000011000011000011001111110,1
I,1111111100111100001111000011110000111100001111000011110011111111,2
I,0111110000111000001110000011100000111000001110000011100001111100,3
I,1111111011111110001110000011100000111000001110001111111011111110,4
I,0111111000011000000110000001100000011000000110000001100001111110,5
J,0000000100000001000000010000000100000011000000110000001010000010,1
J,0000011100000111000001110000011111000111110001111100011101111110,2
J,0001111000001100000011000000110011001100110011001100110001111000,3
J,0111111001111110000110000001100011011000110110001111100001110000,4
J,0111111100000110000001100000011000000110100001101000011001111110,5
K,1000001010000100100010001111000010011000100001001000001010000001,1
K,1100011011001100110110001111000011110000110110001100110011000110,2
K,1100011011001100110110001111000011011000110011001100011011000110,3
K,1100011011001100110110001111000011110000110110001100110011000110,4
K,1000010010001000100100001110000011100000100100001000100010000100,5
L,1000000010000000100000001000000010000000100000001000000011111110,1
L,1100000011000000110000001100000011000000110000001100000011111111,2
L,1100000011000000110000001100000011000000110000001100000011111110,3
L,1100000011000000110000001100000011000000110000001111111011111110,4
L,1000000010000000100000001000000010000000100000001000000011111110,5
M,1000000111000011101000110100100100101001001010010010100100101001,1
M,1100001111100111111111111101101111000011110000111100001111000011,2
M,1100011011101110111111101101011011000110110001101100011011000110,3
M,1100011011101110111111101101011011000110110001101100011011000110,4
M,1000000111000011101001011001100110000001100000011000000110000001,5
N,1000000111000001110100000110100000101010000001010100000100101001,1
N,1100001111100011111100111101101111001111110001111100001111000011,2
N,1100011011100110111101101101111011001110110001101100011011000110,3
N,1100011011100110111101101101111011001110110001101100011011000110,4
N,1000000111000001101000011001000110001001100001011000001110000001,5
O,0111111010000001100000011000000110000001100000011000000110011110,1
O,0111111011000011110000111100001111000011110000111100001101111110,2
O,0111110011000110110001101100011011000110110001101100011001111100,3
O,0111110011111110110001101100011011000110110001101111111001111100,4
O,0111111010000001100000011000000110000001100000011000000101111110,5
P,1111110010000010100000101111110010000000100000001000000010000000,1
P,1111111011000011110000111111111011000000110000001100000011000000,2
P,1111110011000110110001101111110011000000110000001100000011000000,3
P,1111110011111110110001101111111011111100110000001100000011000000,4
P,1111110010000010100000101111110010000000100000001000000010000000,5
Q,0111111010000001100000011000000110000001100110110010101100111101,1
Q,0111111011000011110000111100001111001011110001111100001101111111,2
Q,0111110011000110110001101100011011010110110011101100011001111111,3
Q,0111110011111110110001101100011011010110110011101111111001110110,4
Q,0000000001111110100000011000000110001001100001010111111000000001,5
R,1111110010000010100000101111110010011000100001001000001010000001,1
R,1111111011000011110000111111111011011000110011001100011011000011,2
R,1111110011000110110001101111110011011000110011001100011011000110,3
R,1111110011111110110001101111110011111000110011001100011011000110,4
R,1111110010000010100000101111110010010000100010001000010010000010,5
S,0111111010000000100000000111110000000100000001000000010111111000,1
S,0111111011000011110000000111111000000011110000111100001101111110,2
S,0111110011000000110000000111110000000110000001101100011001111100,3
S,0111111011111110110000000111110000011110000001101111111011111100,4
S,0111111010000001100000000111111000000001100000011000000101111110,5
T,1111111000011000000110000001100000011000011000011000011001111110,1
T,1111111100111100001111000011110000111100001111000011110000111100,2
T,1111111000111000001110000011100000111000001110000011100000111000,3
T,1111111011111110001110000011100000111000001110000011100000111000,4
T,1111111100011000000110000001100000011000000110000001100000011000,5
U,1000000110000001100000011000000110000001100000011000000101111110,1
U,1100001111000011110000111100001111000011110000111100001101111110,2
